Ambient temp,Direct normal solar,Diffuse horizontal solar
14.7,0,0
14.2,0,0
13.6,0,0
13.1,0,0
12.6,3,22
12.6,550,72
13.2,650,123
13.8,446,256
14.2,135,249
14.5,776,174
14.8,74,308
15,735,209
15.2,449,235
15.4,623,118
15.1,557,145
14.4,553,68
13.7,93,29
12.9,0,0
12,0,0
11.1,0,0
10.7,0,0
10.7,0,0
10.7,0,0
10.7,0,0
10.6,0,0
10.6,0,0
10.7,0,0
10.8,0,0
10.9,175,20
11.7,662,51
13.3,831,67
14.8,917,75
16.1,961,81
17.1,983,85
18.1,990,87
19,919,121
19.8,659,224
20.5,759,144
20.6,178,214
19.9,435,93
19.3,118,26
18.2,0,0
16.5,0,0
14.9,0,0
14.4,0,0
15,0,0
15.6,0,0
15.9,0,0
15.9,0,0
15.9,0,0
15.9,0,0
15.8,0,0
15.8,12,23
16.7,106,119
18.4,67,253
20.1,25,242
21.2,45,382
21.5,219,441
21.8,80,463
21.8,12,445
21.7,3,197
21.6,0,147
21.2,0,144
20.3,0,98
19.4,0,17
18.8,0,0
18.3,0,0
17.8,0,0
17.5,0,0
17.3,0,0
17.1,0,0
16.8,0,0
16.3,0,0
15.9,0,0
15.6,0,0
15.5,0,0
15.4,40,24
16.4,374,87
18.7,729,91
20.9,508,234
22.3,167,426
22.8,397,388
23.3,448,377
23.6,532,323
23.9,779,168
24.1,789,124
23.7,632,121
22.7,304,103
21.7,49,26
20.5,0,0
19.1,0,0
17.7,0,0
16.8,0,0
16.3,0,0
15.8,0,0
15.5,0,0
15.2,0,0
14.9,0,0
14.7,0,0
14.5,0,0
14.4,75,18
15.6,190,107
18.1,21,184
20.6,0,212
22,0,236
22.4,7,309
22.8,0,233
22.7,0,39
22.1,0,183
21.5,424,226
20.9,785,70
20.3,211,107
19.7,20,23
18.9,0,0
18,0,0
17.1,0,0
16.3,0,0
15.6,0,0
14.9,0,0
14.6,0,0
14.6,0,0
14.6,0,0
14.7,0,0
14.8,0,0
14.9,36,21
15.6,278,88
17.1,221,200
18.5,190,330
19.4,289,319
19.7,401,271
20,213,434
20.3,513,274
20.8,706,172
21.2,756,124
21,684,102
20.3,618,51
19.6,131,18
18.7,0,0
17.4,0,0
16.1,0,0
15.4,0,0
15.1,0,0
14.8,0,0
14.6,0,0
14.3,0,0
14,0,0
13.8,0,0
13.7,0,0
13.6,92,19
13.9,315,99
14.6,14,144
15.3,0,304
15.7,0,261
15.9,9,388
16,0,351
16,0,122
15.7,0,193
15.4,0,245
15,80,217
14.4,21,123
13.8,0,16
13.2,0,0
12.5,0,0
11.9,0,0
11.6,0,0
11.5,0,0
11.5,0,0
11.4,0,0
11.2,0,0
11.1,0,0
11,0,0
10.9,0,0
10.8,7,16
11.6,38,111
13.1,240,205
14.6,482,232
15.6,274,374
16.1,41,501
16.6,218,461
17,417,365
17.3,74,319
17.5,76,287
17.3,186,181
16.6,270,96
15.9,9,20
15.1,0,0
14,0,0
13,0,0
12.5,0,0
12.3,0,0
12.2,0,0
12.2,0,0
12.1,0,0
12,0,0
12,0,0
11.9,0,0
11.9,102,17
12.9,532,59
14.7,785,70
16.6,872,83
17.8,905,97
18.5,932,101
19.1,944,100
19.5,943,95
19.6,925,89
19.7,881,81
19.3,784,72
18.3,550,57
17.3,136,14
16.2,0,0
15,0,0
13.8,0,0
13.1,0,0
12.8,0,0
12.6,0,0
12.5,0,0
12.4,0,0
12.3,0,0
12.4,0,0
12.5,0,0
12.6,40,20
13.6,420,82
15.4,78,215
17.3,2,238
18.5,718,171
19.1,969,82
19.6,975,84
20,957,90
20.2,930,87
20.4,878,82
20,781,72
19,582,52
18,121,13
17.1,0,0
16.2,0,0
15.3,0,0
14.8,0,0
14.5,0,0
14.2,0,0
14,0,0
13.7,0,0
13.5,0,0
13.3,0,0
13.1,0,0
12.9,29,18
14.2,280,91
16.8,598,122
19.5,686,161
21.4,685,212
22.7,695,239
23.9,660,267
24.7,679,245
25.1,648,225
25.5,594,190
25.1,513,138
23.9,266,86
22.7,9,15
